label,epochs,fix_ratio,float_ratio,single_ratio,std_e,std_n,std_u,rms_e,rms_n,rms_u,diag_down_reject_rate,diag_max_var_factor
clean,81,0,0,1,6.87391216421917,11.4687237660743,19.1603242974291,6.83134883135856,11.3977093138265,19.0416833777744,0.224299065420561,1
diag,81,0,0,1,6.87391216421917,11.4687237660743,19.1603242974291,6.83134883135856,11.3977093138265,19.0416833777744,0.224299065420561,1
