label,epochs,fix_ratio,float_ratio,single_ratio,std_e,std_n,std_u,rms_e,rms_n,rms_u,diag_down_reject_rate,diag_max_var_factor
spp_clean,81,0,0,1,0,0,0,0,0,0,0.025,1
spp_clean_on,84,0,0,1,0.939725111644648,0.67047798635616,1.66875056541906,0.959860162155131,0.673682473225831,1.6591065415376,0.0240963855421687,1
spp_fault_off,75,0,0,1,0,0,0,0,0,0,0.0405405405405405,1
spp_fault_on,84,0,0,1,1.13967777050962,2.19899063970202,6.20953668701306,1.14375512011683,2.1942312432861,6.18221498176347,0.132530120481928,1
