label,epochs,fix_ratio,float_ratio,single_ratio,std_e,std_n,std_u,rms_e,rms_n,rms_u,diag_down_reject_rate,diag_max_var_factor
rtk_clean,115,1,0,0,0,0,0,0,0,0,0.873913043478261,1
rtk_clean_on,115,0.121739130434783,0.878260869565217,0,0.031846157583019,0.0206071800634187,0.0568575489635451,0.072012794275985,0.026982007097237,0.0570968406953604,0.808695652173913,1000000
rtk_fault_off,105,1,0,0,0,0,0,0,0,0,0.876190476190476,1
rtk_fault_on,115,0.0869565217391304,0.91304347826087,0,0.0287810018978815,0.020637313319465,0.0501139766226613,0.0743164425021463,0.0285355031733238,0.0509747064302692,0.826086956521739,1000000
